date,child,category,task,times,completed,points,note,mood,recorder,created_at
2024-05-01,哥哥,生活自理,鞋子排好,1,是,1,,,,
2024-05-01,哥哥,生活自理,準備明日用品,2,是,3,,,,
2024-05-01,哥哥,學習相關,閱讀,1,是,4,,,,
2024-05-01,哥哥,生活自理,鞋子排好,1,是,1,,,,
2024-05-01,哥哥,居家整理,收拾玩具,1,是,3,,,,
2024-05-01,弟弟,居家整理,掃地,1,是,4,,,,
2024-05-01,弟弟,居家整理,整理書桌,2,是,3,,,,
2024-05-01,弟弟,個人清潔,洗澡,1,是,2,和兄弟合作完成,,,
2024-05-02,弟弟,學習相關,練習才藝,1,是,4,,,,
2024-05-02,弟弟,生活自理,準時起床,2,是,2,,,,
2024-05-02,弟弟,居家整理,整理書桌,1,是,3,,,,
2024-05-02,弟弟,居家整理,收拾玩具,1,是,3,,,,
2024-05-02,哥哥,學習相關,完成作業,1,是,5,今天表現穩定,,,
2024-05-02,弟弟,其他,情緒管理,1,否,4,,,,
2024-05-02,哥哥,餐飲協助,餐前擺碗筷,1,否,2,,,,
2024-05-02,哥哥,個人清潔,換衣服,2,是,1,,,,
2024-05-02,哥哥,學習相關,練習才藝,1,是,4,,,,
2024-05-02,哥哥,居家整理,擦桌子,1,是,3,,,,
2024-05-02,哥哥,其他,主動幫忙,1,是,3,,,,
2024-05-02,哥哥,個人清潔,換衣服,1,是,1,,,,
2024-05-03,弟弟,學習相關,整理書包,1,是,3,,,,
2024-05-03,弟弟,居家整理,整理房間,1,否,4,,,,
2024-05-03,弟弟,生活自理,準備明日用品,2,否,3,,,,
2024-05-03,弟弟,學習相關,完成作業,1,是,5,,,,
2024-05-03,哥哥,個人清潔,整理個人物品,2,否,2,,,,
2024-05-03,哥哥,個人清潔,換衣服,2,是,1,,,,
2024-05-03,哥哥,生活自理,鞋子排好,1,是,1,,,,
2024-05-03,哥哥,學習相關,閱讀,1,是,4,主動完成，值得鼓勵,,,
2024-05-03,哥哥,生活自理,衣物放洗衣籃,1,是,2,主動完成，值得鼓勵,,,
2024-05-04,弟弟,個人清潔,刷牙洗臉,1,是,2,需要再提醒一次,,,
2024-05-04,弟弟,生活自理,準時起床,1,是,2,今天表現穩定,,,
2024-05-04,弟弟,學習相關,練習才藝,1,是,4,,,,
2024-05-04,哥哥,學習相關,閱讀,2,是,4,,,,
2024-05-04,哥哥,餐飲協助,餐前擺碗筷,1,否,2,和兄弟合作完成,,,
2024-05-04,哥哥,學習相關,整理書包,1,是,3,今天表現穩定,,,
2024-05-04,哥哥,餐飲協助,餐後收拾,1,否,3,,,,
2024-05-05,哥哥,居家整理,收拾玩具,1,是,3,,,,
2024-05-05,哥哥,生活自理,鞋子排好,1,是,1,,,,
2024-05-05,哥哥,生活自理,準備明日用品,1,是,3,,,,
2024-05-05,哥哥,餐飲協助,餐前擺碗筷,2,是,2,主動完成，值得鼓勵,,,
2024-05-05,哥哥,個人清潔,刷牙洗臉,2,是,2,主動完成，值得鼓勵,,,
2024-05-05,哥哥,居家整理,掃地,1,是,4,,,,
2024-05-05,哥哥,生活自理,準備明日用品,1,是,3,需要再提醒一次,,,
2024-05-05,弟弟,居家整理,整理書桌,1,是,3,,,,
2024-05-05,弟弟,居家整理,整理房間,1,否,4,,,,
2024-05-06,哥哥,居家整理,擦桌子,1,是,3,,,,
2024-05-06,弟弟,生活自理,衣物放洗衣籃,2,是,2,,,,
2024-05-06,弟弟,個人清潔,換衣服,1,是,1,和兄弟合作完成,,,
2024-05-06,哥哥,其他,主動幫忙,1,是,3,需要再提醒一次,,,
2024-05-06,哥哥,生活自理,準備明日用品,2,是,3,,,,
2024-05-06,哥哥,居家整理,掃地,1,是,4,需要再提醒一次,,,
2024-05-07,弟弟,餐飲協助,協助分類回收,2,是,3,,,,
2024-05-07,哥哥,居家整理,整理房間,1,是,4,主動完成，值得鼓勵,,,
2024-05-07,哥哥,生活自理,準時起床,1,是,2,,,,
2024-05-07,哥哥,居家整理,整理書桌,1,是,3,需要再提醒一次,,,
2024-05-07,哥哥,個人清潔,洗澡,1,否,2,,,,
2024-05-07,弟弟,居家整理,整理房間,1,否,4,,,,
2024-05-07,弟弟,學習相關,完成作業,1,是,5,,,,
2024-05-08,弟弟,學習相關,完成作業,2,是,5,,,,
2024-05-08,弟弟,個人清潔,刷牙洗臉,1,是,2,,,,
2024-05-08,弟弟,居家整理,倒垃圾,1,是,3,,,,
2024-05-08,弟弟,個人清潔,洗澡,2,是,2,主動完成，值得鼓勵,,,
2024-05-08,弟弟,餐飲協助,餐後收拾,1,是,3,,,,
2024-05-08,弟弟,餐飲協助,餐後收拾,1,是,3,,,,
2024-05-08,哥哥,居家整理,整理房間,1,是,4,,,,
2024-05-08,哥哥,生活自理,衣物放洗衣籃,1,是,2,,,,
2024-05-08,哥哥,學習相關,整理書包,1,是,3,,,,
2024-05-08,哥哥,居家整理,整理書桌,1,是,3,,,,
2024-05-08,哥哥,個人清潔,洗澡,1,是,2,主動完成，值得鼓勵,,,
2024-05-09,弟弟,學習相關,練習才藝,1,是,4,和兄弟合作完成,,,
2024-05-09,弟弟,生活自理,準備明日用品,1,是,3,,,,
2024-05-09,弟弟,生活自理,準備明日用品,1,是,3,,,,
2024-05-09,弟弟,居家整理,掃地,2,否,4,,,,
2024-05-09,哥哥,學習相關,練習才藝,1,是,4,和兄弟合作完成,,,
2024-05-09,哥哥,學習相關,閱讀,2,是,4,,,,
2024-05-09,哥哥,個人清潔,洗澡,1,是,2,,,,
